"","V1","V2"
"89",0.395438008601339,0.92
"90",0.39682704336785,0.93
"91",0.398191964998755,0.94
"92",0.399533392390593,0.95
"93",0.4,0.953531842724786
"94",0.401012908912966,0.96
"95",0.402553926999586,0.97
"96",0.404068916211469,0.98
"97",0.405558527437101,0.99
"98",0.407023390358352,1
"99",0.408464114284387,1.01
"100",0.409881288948255,1.02
"101",0.41,1.02084931649756
"102",0.411550367430328,1.03
"103",0.413217617265074,1.04
"104",0.414858105788956,1.05
"105",0.416472470319723,1.06
"106",0.418061328313985,1.07
"107",0.419625278119957,1.08
"108",0.42,1.08242916583591
"109",0.421460966176288,1.09
"110",0.423361939826762,1.1
"111",0.425233631362745,1.11
"112",0.42707671077215,1.12
"113",0.428891827931907,1.13
"114",0.43,1.13619291864738
"115",0.430893560342483,1.14
"116",0.43320889272269,1.15
"117",0.435489694088761,1.16
"118",0.437736729811702,1.17
"119",0.439950742974078,1.18
"120",0.44,1.1802252730435
"121",0.443033410707668,1.19
"122",0.44609171233926,1.2
"123",0.449105811886904,1.21
"124",0.45,1.2130052383612
"125",0.453456574551959,1.22
"126",0.45833076661923,1.23
"127",0.46,1.23346908823506
"128",0.468442545604836,1.24
"129",0.47,1.24121885943803
"130",0.472584999156769,1.24
"131",0.48,1.23654178449732
"132",0.483993678697825,1.23
"133",0.49,1.22029506952582
"134",0.490109034548925,1.22
"135",0.493850446525098,1.21
"136",0.497647689369159,1.2
"137",0.5,1.19389112753082
"138",0.501085719921353,1.19
"139",0.503914119300731,1.18
"140",0.506785873625898,1.17
"141",0.509701979518919,1.16
"142",0.51,1.15899129164462
"143",0.512109069432782,1.15
"144",0.514491061399417,1.14
"145",0.516910867670738,1.13
"146",0.519369386928557,1.12
"147",0.52,1.11747033669425
"148",0.521559636206534,1.11
"149",0.523679955647395,1.1
"150",0.525835167727146,1.09
"151",0.528026130368443,1.08
"152",0.53,1.07113594868905
"153",0.530219417493427,1.07
"154",0.532178336259732,1.06
"155",0.534170703665342,1.05
"156",0.536197371172242,1.04
"157",0.538259218830257,1.03
"158",0.54,1.0216976951579
"159",0.540316571231645,1.02
"160",0.542209025187067,1.01
"161",0.544135325743261,1
"162",0.546096372781606,0.99
"163",0.548093097633085,0.98
"164",0.55,0.970619804202071
"165",0.550114169776799,0.97
"166",0.551983923538209,0.96
"167",0.553888759728991,0.95
"168",0.555829653595258,0.94
"169",0.557807615873682,0.93
"170",0.559823694361031,0.92
"171",0.56,0.919138940600632
"172",0.561720621576913,0.91
"173",0.563639790533425,0.9
"174",0.565597146749588,0.89
"175",0.567593810774848,0.88
"176",0.569630945939681,0.87
"177",0.57,0.868218009818562
"178",0.57158346267263,0.86
"179",0.573548655110016,0.85
"180",0.575555019025032,0.84
"181",0.577603820113467,0.83
"182",0.579696374351647,0.82
"183",0.58,0.818573449049586
"184",0.581714303177525,0.81
"185",0.583756110166746,0.8
"186",0.585843030395846,0.79
"187",0.587976517544096,0.78
"188",0.59,0.770720918755382
"189",0.590148893221421,0.77
"190",0.59225050338193,0.76
"191",0.594400667886962,0.75
"192",0.596601012437839,0.74
"193",0.59885323176767,0.73
"194",0.6,0.725011180696288
"195",0.601098797556042,0.72
"196",0.603337500564667,0.71
"197",0.605630894906824,0.7
